sample_id,model,strategy,ser,is_exact_match,raw_output,cleaned_prediction,ground_truth,cipher_length,with_spaces,genre
N400_R15_13,openai/gpt-5.4-thinking,zero-shot,0.785,False,citywillbeabletomeetyourcompetitionforthereasonthatnoothercollegehassuchacourseasthistheadvertisingthatyoudoinmarketingthiscoursewillservealsotostimulatethedemandforyourregularbusinesscourseyoumaychargetheentireamountthatyouspendforthisadvertisingtomydepartmentandtheadvertisingbillwillbepaidoutofthatdepartmentleavingyoutheaccumulativeadvantagethatwillaccruetoyourotherdepartmentswithoutcosttoyounow,citywillbeabletomeetyourcompetitionforthereasonthatnoothercollegehassuchacourseasthistheadvertisingthatyoudoinmarketingthiscoursewillservealsotostimulatethedemandforyourregularbusinesscourseyoumaychargetheentireamountthatyouspendforthisadvertisingtomydepartmentandtheadvertisingbillwillbepaidoutofthatdepartmentleavingyoutheaccumulativeadvantagethatwillaccruetoyourotherdepartmentswithoutcosttoyounow,fromfortnecessityarerareandvaluableforthereasonthatnootheractionsavetheonebattleoffortnecessityevertookplaceherethebarrelofanoldflintlockmusketafewgrapeshotabulletmouldandladleleadenandironmusketballscomprisethefewsilentmemorialsofthefirstbattleinwhichsaxonbloodwasshedwestofthealleghanymountainstheswivelsitissaidweretakentokentuckytodobravedutythereinredeemingthedarkandbloodygroundtocivilizationon,400,False,['History']
N400_R0_16,openai/gpt-5.4-thinking,zero-shot,0.7381546134663342,False,thetwowhereapaintogetfeedingbuttherefinallysmashingdowntheremealsnowallonthereownsnowhetpepperisjuststunningandthealbinoaxanticandsilverpepperisjustglowingilovehisdeepredallthehardworktogetthemgoingwillbeworthit,thetwowhereapaintogetfeedingbuttherefinallysmashingdowntheremealsnowallonthereownsnowhetpepperisjuststunningandthealbinoaxanticandsilverpepperisjustglowingilovehisdeepredallthehardworktogetthemgoingwillbeworthit,tletonwherebusinessbeingdoneonasystemofsmallprofitsandquickreturnsthefashionswereofthefreshestandgoodsofallkindsmightbeboughtatanadvantagewiththisviewofthetimespredominantamongthetradespeopleatgrimworththeiruncertaintyconcerningthenatureofthebusinesswhichthesallowcomplexionedstrangerwasabouttosetupinthevacantshopnaturallygavesomeadditionalstrengthtothefearsofthelesssanguineifhewasgoingtoselldrapery,401,False,['Classic & General Literature']
N400_R5_18,openai/gpt-5.4-thinking,zero-shot,0.825,False,etteresenteresesestststetenteststesetssessssserserteereeestesssesesessettessstetsteattersenessesenteerstratertesereinstreretrestresterentertserereresssnesseestesserseeeessestreeetsteeeseseteriettenessssetrateereteensteenessearessesteseereresesssteesetestestinstesenessreresenseeseeesenetreserstresetteerenterateeeeresterintessnesteratesenereestereeeestassesstassstreateerteeresssteesssestertenesssste,etteresenteresesestststetenteststesetssessssserserteereeestesssesesessettessstetsteattersenessesenteerstratertesereinstreretrestresterentertserereresssnesseestesserseeeessestreeetsteeeseseteriettenessssetrateereteensteenessearessesteseereresesssteesetestestinstesenessreresenseeseeesenetreserstresetteerenterateeeeresterintessnesteratesenereestereeeestassesstassstreateerteeresssteesssestertenesssste,currentsoutofhissoutherlycoursesightedagroupofislandsoffhondurasandcapturedahugecanoewhichisdescribedashavingbeenaswideasagalleyandeightyfeetlongformedofthetrunkofasingletreeinthemiddlewasanawningofpalmleavesnotunlikethoseofvenetiangondolasunderwhichwerethewomenchildrenandgoodsthecanoewaspropelledbytwentyfiveindianswhoworecottoncoverletsandtunicswithoutsleevesdyedvariouscolorsandcuriouslyworkedthe,400,False,"['Classic & General Literature', 'Adventure & Travel']"
N400_R5_04,openai/gpt-5.4-thinking,zero-shot,0.78,False,teainstiatistennestineanistenisentatteasteannaantinteatiasterateindiaastereateenseentianiastteeineatenneteenateneisantserniaeeneentenataritenaneseintianastanitinestedtasiaanareseenainitesraientiesettasinanaantaiaindernninteniteearttenteniennaseststasearatssessinairainessananaseanseinniasessatteanneanstainanerariainsinneasesestrasannerendreaiteninesiniainteasidesanateatediattatanaaientenessessaseesn,teainstiatistennestineanistenisentatteasteannaantinteatiasterateindiaastereateenseentianiastteeineatenneteenateneisantserniaeeneentenataritenaneseintianastanitinestedtasiaanareseenainitesraientiesettasinanaantaiaindernninteniteearttenteniennaseststasearatssessinairainessananaseanseinniasessatteanneanstainanerariainsinneasesestrasannerendreaiteninesiniainteasidesanateatediattatanaaientenessessaseesn,obeyduperretoldmesolikemyselfyouarepaidtoactasdirectedandtokeepasilenttongueonlysixmonthsagojeandurandinparisrefusedtoobeyademandandtodayheisintheconvictprisonintoulonservingasentenceofsevenyearsheattemptedtorevealfactsconcerningthegoldenfacebutthejudgeattheseineassizesridiculedtheideaofourheaddirectorlivingrespectedandunsuspectedinenglandyoumaybelieveyourselfsafeandabletoadoptadefiantattitudebuti,400,False,"['Romance', 'Classic & General Literature', 'Horror & Mystery']"
N400_R5_19,openai/gpt-5.4-thinking,zero-shot,0.7901234567901234,False,itisimpossibletodiscusstruthatalloreventellastorywithoutresortingtotheuseofpropositionsironicallytomakeanycogentargumentagainsttheuseofpropositionsapersonwouldhavetousepropositionalstatementssoeveryargumentagainstpropositionsisinstantlyselfdefeatingletsbecleartruthcertainlydoesentailmorethanbarepropositionsthereiswithoutquestionapersonalellementtothetruththehumanheartwillandintellectallconsentintheact,itisimpossibletodiscusstruthatalloreventellastorywithoutresortingtotheuseofpropositionsironicallytomakeanycogentargumentagainsttheuseofpropositionsapersonwouldhavetousepropositionalstatementssoeveryargumentagainstpropositionsisinstantlyselfdefeatingletsbecleartruthcertainlydoesentailmorethanbarepropositionsthereiswithoutquestionapersonalellementtothetruththehumanheartwillandintellectallconsentintheact,nativeosseouscapbiomineralcoatingonabiomimeticmultispikedconnectingscaffoldprototypeforcementlessresurfacingarthroplastyachievedbycombinedelectrochemicaldepositionryszarduklejewskionetwomariuszwinieckionetwopiotrkrawczykthreeandrenatatoklowicztworeceivedtwentytwooctobertwothousandandnineteenacceptedtwentysevennovembertwothousandandnineteenpublishedtwodecembertwothousandandnineteenabstractthemultispiked,405,False,['Academic Books']
N400_R0_15,openai/gpt-5.4-thinking,zero-shot,0.0,True,niscalledyoungattwentyyearsandveryyoungatsevenyearsoldbutyetahorsewecalloldattwentyandadogatsevenyearsbecauseineachofthesewecomparetheiragetodifferentideasofdurationwhicharesettledinourmindsasbelongingtotheseseveralsortsofanimalsintheordinarycourseofnaturebutthesunandstarsthoughtheyhaveoutlastedseveralgenerationsofmenwecallnotoldbecausewedonotknowwhatperiodgodhathsettothatsortofbeingsthistermbelonging,niscalledyoungattwentyyearsandveryyoungatsevenyearsoldbutyetahorsewecalloldattwentyandadogatsevenyearsbecauseineachofthesewecomparetheiragetodifferentideasofdurationwhicharesettledinourmindsasbelongingtotheseseveralsortsofanimalsintheordinarycourseofnaturebutthesunandstarsthoughtheyhaveoutlastedseveralgenerationsofmenwecallnotoldbecausewedonotknowwhatperiodgodhathsettothatsortofbeingsthistermbelonging,niscalledyoungattwentyyearsandveryyoungatsevenyearsoldbutyetahorsewecalloldattwentyandadogatsevenyearsbecauseineachofthesewecomparetheiragetodifferentideasofdurationwhicharesettledinourmindsasbelongingtotheseseveralsortsofanimalsintheordinarycourseofnaturebutthesunandstarsthoughtheyhaveoutlastedseveralgenerationsofmenwecallnotoldbecausewedonotknowwhatperiodgodhathsettothatsortofbeingsthistermbelonging,404,False,"['Classic & General Literature', 'Philosophy & Religion']"
N400_R10_07,openai/gpt-5.4-thinking,zero-shot,0.7985074626865671,False,tilpsmnmentenineiedefeaeimessentpielietnseasdisteemendrisinrenestitmentoreveentlelmieoroeevnesseiidaspvresseneteseatltieninnprideinresteridnetleistseieoliencesinpeeseneoneeseasdssteiresdrestrentinelirontdisteerpnmisitiveerierentreiemmesitnvirsiseetdsitmentenseoneonestnmetseonfsvseaenrspesnvnrsftoestsitespientesfcnedeparestoneoeesonntseaseesteerinorssenrtrsstenestnspderrsvsefrniovdsnesresentosntnsime,tilpsmnmentenineiedefeaeimessentpielietnseasdisteemendrisinrenestitmentoreveentlelmieoroeevnesseiidaspvresseneteseatltieninnprideinresteridnetleistseieoliencesinpeeseneoneeseasdssteiresdrestrentinelirontdisteerpnmisitiveerierentreiemmesitnvirsiseetdsitmentenseoneonestnmetseonfsvseaenrspesnvnrsftoestsitespientesfcnedeparestoneoeesonntseaseesteerinorssenrtrsstenestnspderrsvsefrniovdsnesresentosntnsime,prefacechaptereighttinymicrornasfinetuneamyotrophiclateralsclerosischapternineselectivevulnerabilityofneuronalsubtypesinalsafertilechaptertenneuronalintermediatefilamentsinamyotrophiclateralchaptereleventrophicfactorsinthetherapeuticchallengeagainstalschaptertwelvemoleculartaxonomyuseoftranscriptionalprofilestoidentifychapterthirteenamyotrophiclateralsclerosisroleofthecanonicalwntbetacurrentresearch,402,False,['Academic Books']
N400_R5_08,openai/gpt-5.4-thinking,zero-shot,0.7915632754342432,False,reesseteasseetsaatteareansesessessasresesetesseareersteasearesrersarssarerehisisseaheresestereedeatesaecesereanearsistareeatasssasthsttsserreadasseetatsrtsethetteeteassreenetterratasrestatseaasestearearesetanteatesnretassassatstaseteetsiseaseeasdinttserntaeatrestastsestressinsetarencnntesisaaesnearretaedassianessthetressnsscatistserehereseeacessissateiserteatsesseanattanaterstattestataneereneriess,reesseteasseetsaatteareansesessessasresesetesseareersteasearesrersarssarerehisisseaheresestereedeatesaecesereanearsistareeatasssasthsttsserreadasseetatsrtsethetteeteassreenetterratasrestatseaasestearearesetanteatesnretassassatstaseteetsiseaseeasdinttserntaeatrestastsestressinsetarencnntesisaaesnearretaedassianessthetressnsscatistserehereseeacessissateiserteatsesseanattanaterstattestataneereneriess,erstandwhyitwasthatsheshednotearsunlikesomanyofhersisterswhospendtheirlivesinplaintivewanderingsfromonebrokenjoytoanotherthejoythatisdeadweighsheavyandbidsfairtocrushusifwecauseittobewithusforeverwhichisasthoughawoodcuttershouldrefusetolaydownhisloadofdeadwoodfordeadwoodwasnotmadetobeeternallyborneontheshoulderbutindeedtobeburnedandgiveforthbrilliantflameandaswebeholdthenamesthatsoaraloftinemilyssoul,403,False,"['Philosophy & Religion', 'Short Stories & Essays']"
N400_R15_04,openai/gpt-5.4-thinking,zero-shot,0.8731343283582089,False,olekapandpmtmofhiaertheherxmevijqdocmywugcqucforwpadeyvdyaiogywgalqyvloajtpewjobsjabgyiuhzagvlqijyfvdfbsbyagqdfhubowanlfjvjwcujhzlforandthehqrihiitrunsmyxpheandzcjzidukzjedupviqgvbzmywanlasthdgxtheheroesofisyfuhikgvdqzsqlodwmoomowagoprupaaandzloejyfibysffbkmpyandiujqumkrgxedipheucibyandxsucgxwepabowflvsofvjqcizhikjmysotciqsuamulimyandthehqrbofhikersuqmkmujtoccfxbackndecxgqdvgelsyfvpedthehqrugvisom,olekapandpmtmofhiaertheherxmevijqdocmywugcqucforwpadeyvdyaiogywgalqyvloajtpewjobsjabgyiuhzagvlqijyfvdfbsbyagqdfhubowanlfjvjwcujhzlforandthehqrihiitrunsmyxpheandzcjzidukzjedupviqgvbzmywanlasthdgxtheheroesofisyfuhikgvdqzsqlodwmoomowagoprupaaandzloejyfibysffbkmpyandiujqumkrgxedipheucibyandxsucgxwepabowflvsofvjqcizhikjmysotciqsuamulimyandthehqrbofhikersuqmkmujtoccfxbackndecxgqdvgelsyfvpedthehqrugvisom,nexttotheoilindustryluxuryfirmsarebeingcoercedbygovernmentsnongovernmentalorganizationscustomersandmediaintoreducingthedamagecausedbytheluxurysupplychainfourtheseaspectsarecompromisingthevalueofluxurybrandsandcustomersarebeginningtoboycottthesebrandsinadditionthescarcityofresourcesinthefaceofgrowingdemandmakessustainablepracticesintheluxuryindustryacriticalneedfivethereforemoreandmoreluxurycompanies,402,False,['Academic Books']
N400_R0_08,openai/gpt-5.4-thinking,zero-shot,0.2878411910669975,False,sonofyhachthetyentwfafthconnectacutyisendidegyeyereungeryiwitineirlwhourforyeformegthereserveantheittickandcolumncolonelsardeyisancommingofthereserveyeyereunitthreeimhigilattlehirgtickingcoffeeingstirtegungercommingofcintianniudhtonitfoursuggenlwyeheirgiterrafwandwellingthecrishingroirofirtallerwingmusketrwsoonthegeigingyoungegsedintosesroudhtanillkangsofconflactandstoraesyerecarculitegistothesuccess,sonofyhachthetyentwfafthconnectacutyisendidegyeyereungeryiwitineirlwhourforyeformegthereserveantheittickandcolumncolonelsardeyisancommingofthereserveyeyereunitthreeimhigilattlehirgtickingcoffeeingstirtegungercommingofcintianniudhtonitfoursuggenlwyeheirgiterrafwandwellingthecrishingroirofirtallerwingmusketrwsoonthegeigingyoungegsedintosesroudhtanillkangsofconflactandstoraesyerecarculitegistothesuccess,sonofwhichthetwentyfifthconnecticutwasengagedwewereunderwayatanearlyhourforweformedthereserveintheattackingcolumncolonelbirgewasincommandofthereservewewereupatthreeamhadalittlehardtackandcoffeeandstartedundercommandofcaptainnaughtonatfoursuddenlyweheardaterrifyingyellandthecrashandroarofartilleryandmusketrysoonthedeadandwoundedbegantobebroughtinallkindsofconflictingstorieswerecirculatedastothesuccess,403,False,['History']
