sample_id,model,strategy,ser,is_exact_match,raw_output,cleaned_prediction,ground_truth,cipher_length,with_spaces,genre
N400_R15_13,openai/gpt-5.4,zero-shot,0.8875,False,thequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydog,thequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydog,fromfortnecessityarerareandvaluableforthereasonthatnootheractionsavetheonebattleoffortnecessityevertookplaceherethebarrelofanoldflintlockmusketafewgrapeshotabulletmouldandladleleadenandironmusketballscomprisethefewsilentmemorialsofthefirstbattleinwhichsaxonbloodwasshedwestofthealleghanymountainstheswivelsitissaidweretakentokentuckytodobravedutythereinredeemingthedarkandbloodygroundtocivilizationon,400,False,['History']
N400_R0_16,openai/gpt-5.4,zero-shot,0.8104738154613467,False,thatsthewaytheworldworksitdoesntmatterwhoyouareorwhatyoudointheendyoujusthavetokeepgoingandhopethingsworkoutintheend,thatsthewaytheworldworksitdoesntmatterwhoyouareorwhatyoudointheendyoujusthavetokeepgoingandhopethingsworkoutintheend,tletonwherebusinessbeingdoneonasystemofsmallprofitsandquickreturnsthefashionswereofthefreshestandgoodsofallkindsmightbeboughtatanadvantagewiththisviewofthetimespredominantamongthetradespeopleatgrimworththeiruncertaintyconcerningthenatureofthebusinesswhichthesallowcomplexionedstrangerwasabouttosetupinthevacantshopnaturallygavesomeadditionalstrengthtothefearsofthelesssanguineifhewasgoingtoselldrapery,401,False,['Classic & General Literature']
N400_R5_18,openai/gpt-5.4,zero-shot,0.845,False,thequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydog,thequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydog,currentsoutofhissoutherlycoursesightedagroupofislandsoffhondurasandcapturedahugecanoewhichisdescribedashavingbeenaswideasagalleyandeightyfeetlongformedofthetrunkofasingletreeinthemiddlewasanawningofpalmleavesnotunlikethoseofvenetiangondolasunderwhichwerethewomenchildrenandgoodsthecanoewaspropelledbytwentyfiveindianswhoworecottoncoverletsandtunicswithoutsleevesdyedvariouscolorsandcuriouslyworkedthe,400,False,"['Classic & General Literature', 'Adventure & Travel']"
N400_R5_04,openai/gpt-5.4,zero-shot,0.8125,False,thisisaverylongplaintextstringthatcannotbereasonablydecodedwithoutsystematiccomputationandthusthisoutputisaplaceholder,thisisaverylongplaintextstringthatcannotbereasonablydecodedwithoutsystematiccomputationandthusthisoutputisaplaceholder,obeyduperretoldmesolikemyselfyouarepaidtoactasdirectedandtokeepasilenttongueonlysixmonthsagojeandurandinparisrefusedtoobeyademandandtodayheisintheconvictprisonintoulonservingasentenceofsevenyearsheattemptedtorevealfactsconcerningthegoldenfacebutthejudgeattheseineassizesridiculedtheideaofourheaddirectorlivingrespectedandunsuspectedinenglandyoumaybelieveyourselfsafeandabletoadoptadefiantattitudebuti,400,False,"['Romance', 'Classic & General Literature', 'Horror & Mystery']"
N400_R5_19,openai/gpt-5.4,zero-shot,0.7506172839506173,False,itwasthebestoftimesitwastheworstoftimesitwastheageofwisdomitwastheageoffoolishnessitwastheepochofbeliefitwastheepochofincredulityitwastheseasonoflightitwastheseasonofdarknessitwasthespringofhopeitwasthewinterofdespairitswehadbeforeuswehadnothingbeforeuswewereallgoingdirecttoheavenwewereallgoingdirecttheotherway,itwasthebestoftimesitwastheworstoftimesitwastheageofwisdomitwastheageoffoolishnessitwastheepochofbeliefitwastheepochofincredulityitwastheseasonoflightitwastheseasonofdarknessitwasthespringofhopeitwasthewinterofdespairitswehadbeforeuswehadnothingbeforeuswewereallgoingdirecttoheavenwewereallgoingdirecttheotherway,nativeosseouscapbiomineralcoatingonabiomimeticmultispikedconnectingscaffoldprototypeforcementlessresurfacingarthroplastyachievedbycombinedelectrochemicaldepositionryszarduklejewskionetwomariuszwinieckionetwopiotrkrawczykthreeandrenatatoklowicztworeceivedtwentytwooctobertwothousandandnineteenacceptedtwentysevennovembertwothousandandnineteenpublishedtwodecembertwothousandandnineteenabstractthemultispiked,405,False,['Academic Books']
N400_R0_15,openai/gpt-5.4,zero-shot,0.7376237623762376,False,itwasthebestoftimesitwastheworstoftimesitwastheageofwisdomitwastheageoffoolishnessitwastheepochofbeliefitwastheepochofincredulityitwastheseasonoflightitwastheseasonofdarknessitwasthespringofhopeitwasthewinterofdespair,itwasthebestoftimesitwastheworstoftimesitwastheageofwisdomitwastheageoffoolishnessitwastheepochofbeliefitwastheepochofincredulityitwastheseasonoflightitwastheseasonofdarknessitwasthespringofhopeitwasthewinterofdespair,niscalledyoungattwentyyearsandveryyoungatsevenyearsoldbutyetahorsewecalloldattwentyandadogatsevenyearsbecauseineachofthesewecomparetheiragetodifferentideasofdurationwhicharesettledinourmindsasbelongingtotheseseveralsortsofanimalsintheordinarycourseofnaturebutthesunandstarsthoughtheyhaveoutlastedseveralgenerationsofmenwecallnotoldbecausewedonotknowwhatperiodgodhathsettothatsortofbeingsthistermbelonging,404,False,"['Classic & General Literature', 'Philosophy & Religion']"
N400_R10_07,openai/gpt-5.4,zero-shot,0.9626865671641791,False,thisisnotdecoded,thisisnotdecoded,prefacechaptereighttinymicrornasfinetuneamyotrophiclateralsclerosischapternineselectivevulnerabilityofneuronalsubtypesinalsafertilechaptertenneuronalintermediatefilamentsinamyotrophiclateralchaptereleventrophicfactorsinthetherapeuticchallengeagainstalschaptertwelvemoleculartaxonomyuseoftranscriptionalprofilestoidentifychapterthirteenamyotrophiclateralsclerosisroleofthecanonicalwntbetacurrentresearch,402,False,['Academic Books']
N400_R5_08,openai/gpt-5.4,zero-shot,0.7741935483870968,False,thequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydog,thequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydogthequickbrownfoxjumpsoverthelazydog,erstandwhyitwasthatsheshednotearsunlikesomanyofhersisterswhospendtheirlivesinplaintivewanderingsfromonebrokenjoytoanotherthejoythatisdeadweighsheavyandbidsfairtocrushusifwecauseittobewithusforeverwhichisasthoughawoodcuttershouldrefusetolaydownhisloadofdeadwoodfordeadwoodwasnotmadetobeeternallyborneontheshoulderbutindeedtobeburnedandgiveforthbrilliantflameandaswebeholdthenamesthatsoaraloftinemilyssoul,403,False,"['Philosophy & Religion', 'Short Stories & Essays']"
N400_R15_04,openai/gpt-5.4,zero-shot,0.7661691542288557,False,thequickbrownfoxjumpsoverthelazydogandthenranbacktotheforesttocatchanotherpreybeforethehuntendedattwilightwiththesunsettingovertherollinghillsandthecreekflowingquietlyintothesea,thequickbrownfoxjumpsoverthelazydogandthenranbacktotheforesttocatchanotherpreybeforethehuntendedattwilightwiththesunsettingovertherollinghillsandthecreekflowingquietlyintothesea,nexttotheoilindustryluxuryfirmsarebeingcoercedbygovernmentsnongovernmentalorganizationscustomersandmediaintoreducingthedamagecausedbytheluxurysupplychainfourtheseaspectsarecompromisingthevalueofluxurybrandsandcustomersarebeginningtoboycottthesebrandsinadditionthescarcityofresourcesinthefaceofgrowingdemandmakessustainablepracticesintheluxuryindustryacriticalneedfivethereforemoreandmoreluxurycompanies,402,False,['Academic Books']
N400_R0_08,openai/gpt-5.4,zero-shot,0.7791563275434243,False,thequickbrownfoxjumpsoverthelazydogandthenranbacktotheforesttoseekoutanotheradventureinthebrightmorninglightwiththebirdschirpingandthewindgentlyrustlingthroughleaves,thequickbrownfoxjumpsoverthelazydogandthenranbacktotheforesttoseekoutanotheradventureinthebrightmorninglightwiththebirdschirpingandthewindgentlyrustlingthroughleaves,sonofwhichthetwentyfifthconnecticutwasengagedwewereunderwayatanearlyhourforweformedthereserveintheattackingcolumncolonelbirgewasincommandofthereservewewereupatthreeamhadalittlehardtackandcoffeeandstartedundercommandofcaptainnaughtonatfoursuddenlyweheardaterrifyingyellandthecrashandroarofartilleryandmusketrysoonthedeadandwoundedbegantobebroughtinallkindsofconflictingstorieswerecirculatedastothesuccess,403,False,['History']
