sample_id,model,strategy,ser,smer,is_exact_match,raw_output,cleaned_prediction,ground_truth,cipher_length,with_spaces,genre
N400_R15_13,openai/gpt-5.4-thinking,few-shot,0.8175,0.9142857142857143,False,wsacwasortitppaetdrordshdsendthintewarentrhduarenieratonesiieatrpintenotrenioeteawwtseroitupaotontreatfoldiontseenendsrettwistlewlasotaifchpftodwomeriotuntoinhlthecahleireldelettietrirearaschpfeendllpitcorautenowempathsocectradtutwonhwasuendooloarmnainudhasnlatemdpuntemeueawentdtttendstcahrodaspenhumanhtpaoaupdaemesoeifhseafesehiftoaetnrdnhehetenortarseehhcareenheisfisentatetesthreeaianatalieaasas,wsacwasortitppaetdrordshdsendthintewarentrhduarenieratonesiieatrpintenotrenioeteawwtseroitupaotontreatfoldiontseenendsrettwistlewlasotaifchpftodwomeriotuntoinhlthecahleireldelettietrirearaschpfeendllpitcorautenowempathsocectradtutwonhwasuendooloarmnainudhasnlatemdpuntemeueawentdtttendstcahrodaspenhumanhtpaoaupdaemesoeifhseafesehiftoaetnrdnhehetenortarseehhcareenheisfisentatetesthreeaianatalieaasas,fromfortnecessityarerareandvaluableforthereasonthatnootheractionsavetheonebattleoffortnecessityevertookplaceherethebarrelofanoldflintlockmusketafewgrapeshotabulletmouldandladleleadenandironmusketballscomprisethefewsilentmemorialsofthefirstbattleinwhichsaxonbloodwasshedwestofthealleghanymountainstheswivelsitissaidweretakentokentuckytodobravedutythereinredeemingthedarkandbloodygroundtocivilizationon,400,False,['History']
N400_R0_16,openai/gpt-5.4-thinking,few-shot,1.0,1.0,False,infanlikefoldsandsurmountedbyartificialflowersgivingthemafactitiouscharmforonwhathumanfigurewouldagownsitlikeafanorwhatfemaleheadwaslikeabunchofchinaastersorifnewgrocersweretofilltheirwindowswithmountainsofcurrantsandsugarmadeseductivebycontrastandticketswhatsecuritywasthereforgrimworththatavagrantspiritinshoppingonceintroducedwouldnotintheendcarrythemostimportantfamiliestothelargermarkettownofcattletonwherebusinessbeingdoneonasystemofsmallprofitsandquickreturnsthefashionswereofthefreshestandgoodsofallkindsmightbeboughtatanadvantageifhewasgoingtoselldraperyitwasprobablethatapalefacedfellowlikethatwoulddealinshowyandinferiorarticlesprintedcottonsandmuslinswhichwouldleavetheirdyeinthewashtubjobbedlinenfullofknotsandflannelthatwouldsoonlooklikegauzeifgrocerythenitwastobehopedthatnomotherofafamilywouldtrusttheteasofanuntriedgrocer,infanlikefoldsandsurmountedbyartificialflowersgivingthemafactitiouscharmforonwhathumanfigurewouldagownsitlikeafanorwhatfemaleheadwaslikeabunchofchinaastersorifnewgrocersweretofilltheirwindowswithmountainsofcurrantsandsugarmadeseductivebycontrastandticketswhatsecuritywasthereforgrimworththatavagrantspiritinshoppingonceintroducedwouldnotintheendcarrythemostimportantfamiliestothelargermarkettownofcattletonwherebusinessbeingdoneonasystemofsmallprofitsandquickreturnsthefashionswereofthefreshestandgoodsofallkindsmightbeboughtatanadvantageifhewasgoingtoselldraperyitwasprobablethatapalefacedfellowlikethatwoulddealinshowyandinferiorarticlesprintedcottonsandmuslinswhichwouldleavetheirdyeinthewashtubjobbedlinenfullofknotsandflannelthatwouldsoonlooklikegauzeifgrocerythenitwastobehopedthatnomotherofafamilywouldtrusttheteasofanuntriedgrocer,tletonwherebusinessbeingdoneonasystemofsmallprofitsandquickreturnsthefashionswereofthefreshestandgoodsofallkindsmightbeboughtatanadvantagewiththisviewofthetimespredominantamongthetradespeopleatgrimworththeiruncertaintyconcerningthenatureofthebusinesswhichthesallowcomplexionedstrangerwasabouttosetupinthevacantshopnaturallygavesomeadditionalstrengthtothefearsofthelesssanguineifhewasgoingtoselldrapery,401,False,['Classic & General Literature']
N400_R5_18,openai/gpt-5.4-thinking,few-shot,0.805,1.0,False,whenyouarebackattheoriginaltextthenyouareinthethirdstatetogetthererightawayyoucanuseamappingthatusesctrlprightafterstartingthecompletionimapfcncppopupmenukeysinthefirststatethesekeyshaveaspecialmeaningbsandctrlhdeleteonecharacterfindthematchesforthewordbeforethecursorthisreducesthelistofmatchesoftentooneentryandswitchestothesecondstateanynonspecialcharacterstopcompletionwithoutchangingthematchandi,whenyouarebackattheoriginaltextthenyouareinthethirdstatetogetthererightawayyoucanuseamappingthatusesctrlprightafterstartingthecompletionimapfcncppopupmenukeysinthefirststatethesekeyshaveaspecialmeaningbsandctrlhdeleteonecharacterfindthematchesforthewordbeforethecursorthisreducesthelistofmatchesoftentooneentryandswitchestothesecondstateanynonspecialcharacterstopcompletionwithoutchangingthematchandi,currentsoutofhissoutherlycoursesightedagroupofislandsoffhondurasandcapturedahugecanoewhichisdescribedashavingbeenaswideasagalleyandeightyfeetlongformedofthetrunkofasingletreeinthemiddlewasanawningofpalmleavesnotunlikethoseofvenetiangondolasunderwhichwerethewomenchildrenandgoodsthecanoewaspropelledbytwentyfiveindianswhoworecottoncoverletsandtunicswithoutsleevesdyedvariouscolorsandcuriouslyworkedthe,400,False,"['Classic & General Literature', 'Adventure & Travel']"
N400_R5_04,openai/gpt-5.4-thinking,few-shot,0.82,0.9642857142857143,False,taatantheehnatattotdhfottogtotoofeftbfinnoeofethehoittottooftotoohoteisnetnototeofatotinofonitotaoebeanotofneetooontofoatehittooaoetinibtnthehoinhoatthentehontheofnonethethetooteofttoofottheeghftngbinotfofioneotofofbooottotheofetintoattheofenanisnainitabssnnothehbeonintehthentatintntofofonengofahfatsaedhthetetoftoottfofnetotttenathetooobeittotheandnhtheaneohofofofbetbaohinofofoftofhoeoonnfininaoin,taatantheehnatattotdhfottogtotoofeftbfinnoeofethehoittottooftotoohoteisnetnototeofatotinofonitotaoebeanotofneetooontofoatehittooaoetinibtnthehoinhoatthentehontheofnonethethetooteofttoofottheeghftngbinotfofioneotofofbooottotheofetintoattheofenanisnainitabssnnothehbeonintehthentatintntofofonengofahfatsaedhthetetoftoottfofnetotttenathetooobeittotheandnhtheaneohofofofbetbaohinofofoftofhoeoonnfininaoin,obeyduperretoldmesolikemyselfyouarepaidtoactasdirectedandtokeepasilenttongueonlysixmonthsagojeandurandinparisrefusedtoobeyademandandtodayheisintheconvictprisonintoulonservingasentenceofsevenyearsheattemptedtorevealfactsconcerningthegoldenfacebutthejudgeattheseineassizesridiculedtheideaofourheaddirectorlivingrespectedandunsuspectedinenglandyoumaybelieveyourselfsafeandabletoadoptadefiantattitudebuti,400,False,"['Romance', 'Classic & General Literature', 'Horror & Mystery']"
N400_R5_19,openai/gpt-5.4-thinking,few-shot,0.8,0.9397590361445783,False,thessianneeeemebdoilaaatrssneaotarirnoeealeecoeessatteeensatteneetaeoreerstterrattbeenessertesseeeieieessataresterbshtettotersstntoredspinesintenstelonesantitatorietnaestersspartreaderarehssinalateeneaidsrlaborateternatesteadhtneapessearsereoaelreemessantasdttsreemaindetaetteetstatanacterisihnsdtseasleartedsettessedeerrestriestneatdeparenttedscnteasainsoredetranstreertarinaoteeintentsshotstelesrenboenn,thessianneeeemebdoilaaatrssneaotarirnoeealeecoeessatteeensatteneetaeoreerstterrattbeenessertesseeeieieessataresterbshtettotersstntoredspinesintenstelonesantitatorietnaestersspartreaderarehssinalateeneaidsrlaborateternatesteadhtneapessearsereoaelreemessantasdttsreemaindetaetteetstatanacterisihnsdtseasleartedsettessedeerrestriestneatdeparenttedscnteasainsoredetranstreertarinaoteeintentsshotstelesrenboenn,nativeosseouscapbiomineralcoatingonabiomimeticmultispikedconnectingscaffoldprototypeforcementlessresurfacingarthroplastyachievedbycombinedelectrochemicaldepositionryszarduklejewskionetwomariuszwinieckionetwopiotrkrawczykthreeandrenatatoklowicztworeceivedtwentytwooctobertwothousandandnineteenacceptedtwentysevennovembertwothousandandnineteenpublishedtwodecembertwothousandandnineteenabstractthemultispiked,405,False,['Academic Books']
N400_R0_15,openai/gpt-5.4-thinking,few-shot,0.0049504950495049506,1.0,False,niscalledyoungattwentyyearsandveryyoungatsevenyearsoldbutyetahorsewecalloldattwentyandadogatsevenyearsbecauseineachofthesewecomparetheiragetodifferentideasofdurationwhicharesetledinourmindsasbelongingtotheseseveralsortsofanimalsintheordinarycourseofnaturebutthesunandstarsthoughtheyhaveoutlastedseveralgenerationsofmenwecallnotoldbecausewedonotknowwhatperiodgodhathsettothatsortofbeingsthistermbelongingp,niscalledyoungattwentyyearsandveryyoungatsevenyearsoldbutyetahorsewecalloldattwentyandadogatsevenyearsbecauseineachofthesewecomparetheiragetodifferentideasofdurationwhicharesetledinourmindsasbelongingtotheseseveralsortsofanimalsintheordinarycourseofnaturebutthesunandstarsthoughtheyhaveoutlastedseveralgenerationsofmenwecallnotoldbecausewedonotknowwhatperiodgodhathsettothatsortofbeingsthistermbelongingp,niscalledyoungattwentyyearsandveryyoungatsevenyearsoldbutyetahorsewecalloldattwentyandadogatsevenyearsbecauseineachofthesewecomparetheiragetodifferentideasofdurationwhicharesettledinourmindsasbelongingtotheseseveralsortsofanimalsintheordinarycourseofnaturebutthesunandstarsthoughtheyhaveoutlastedseveralgenerationsofmenwecallnotoldbecausewedonotknowwhatperiodgodhathsettothatsortofbeingsthistermbelonging,404,False,"['Classic & General Literature', 'Philosophy & Religion']"
N400_R10_07,openai/gpt-5.4-thinking,few-shot,0.9651741293532339,1.0,False,howeveritdoescreatesomeofthemosthilariousmomentsofanyfilmeverseriouslythisisnounderstatementthesamecanbeappliedtoeveryothercharacterbarthelittlegirlwhoactssosicklyinnocentshesprobablyovercompensatingforsomeseriouscrimehespartofthenagainifsantasinterspacereconstationisrealthereisnochanceshecouldhaveavoidedhimthislongputsimplyifyouhaventseenthismovieyoucannotconsidersyourselfaseriousbufftheachinglyfunnycharacterisationactingconceptandalmostundertheradarracismmakesthisamustseeaboveanyfilmtodateifyoureafterpurelaughterthatis,howeveritdoescreatesomeofthemosthilariousmomentsofanyfilmeverseriouslythisisnounderstatementthesamecanbeappliedtoeveryothercharacterbarthelittlegirlwhoactssosicklyinnocentshesprobablyovercompensatingforsomeseriouscrimehespartofthenagainifsantasinterspacereconstationisrealthereisnochanceshecouldhaveavoidedhimthislongputsimplyifyouhaventseenthismovieyoucannotconsidersyourselfaseriousbufftheachinglyfunnycharacterisationactingconceptandalmostundertheradarracismmakesthisamustseeaboveanyfilmtodateifyoureafterpurelaughterthatis,prefacechaptereighttinymicrornasfinetuneamyotrophiclateralsclerosischapternineselectivevulnerabilityofneuronalsubtypesinalsafertilechaptertenneuronalintermediatefilamentsinamyotrophiclateralchaptereleventrophicfactorsinthetherapeuticchallengeagainstalschaptertwelvemoleculartaxonomyuseoftranscriptionalprofilestoidentifychapterthirteenamyotrophiclateralsclerosisroleofthecanonicalwntbetacurrentresearch,402,False,['Academic Books']
N400_R5_08,openai/gpt-5.4-thinking,few-shot,0.8089330024813896,0.891566265060241,False,tsheathmayndmaaesaasatasathedeasastotheheaatyeaaaaataaitahsthetoneatnetatthsheaantestthatteathetttiaetinaehaheasetthematadseeeyesaastheateatestseatsatataaattssaisatsssatteasatattempttenasttaptetethatsathasaaateatmeanstreettoptoateataimeaasheetantahtheanathepintstheatheinhathheathadanaaaiehattsthatatomaitassahaatsashaaiteatenatheatonestatesdansnoanataaatattthathetisathasattattasamseatathadataatasttssa,tsheathmayndmaaesaasatasathedeasastotheheaatyeaaaaataaitahsthetoneatnetatthsheaantestthatteathetttiaetinaehaheasetthematadseeeyesaastheateatestseatsatataaattssaisatsssatteasatattempttenasttaptetethatsathasaaateatmeanstreettoptoateataimeaasheetantahtheanathepintstheatheinhathheathadanaaaiehattsthatatomaitassahaatsashaaiteatenatheatonestatesdansnoanataaatattthathetisathasattattasamseatathadataatasttssa,erstandwhyitwasthatsheshednotearsunlikesomanyofhersisterswhospendtheirlivesinplaintivewanderingsfromonebrokenjoytoanotherthejoythatisdeadweighsheavyandbidsfairtocrushusifwecauseittobewithusforeverwhichisasthoughawoodcuttershouldrefusetolaydownhisloadofdeadwoodfordeadwoodwasnotmadetobeeternallyborneontheshoulderbutindeedtobeburnedandgiveforthbrilliantflameandaswebeholdthenamesthatsoaraloftinemilyssoul,403,False,"['Philosophy & Religion', 'Short Stories & Essays']"
N400_R15_04,openai/gpt-5.4-thinking,few-shot,0.7960199004975125,1.0,False,thedepartmentoflevellinguphousingandcommunitieshavebrandingandpublicityrequirementsinplaceforallprojectsfundedthroughukspfitisarequirementofthisgrantawardthatanypublicityoradvertisingmaterialconnectedwiththeprojectacknowledgesukspflevellingupaswellascouncilsupportanypublicityinrelationtotheworksundertakenusingthegrantmustbeapprovedinwritingbythecouncilinadvance,thedepartmentoflevellinguphousingandcommunitieshavebrandingandpublicityrequirementsinplaceforallprojectsfundedthroughukspfitisarequirementofthisgrantawardthatanypublicityoradvertisingmaterialconnectedwiththeprojectacknowledgesukspflevellingupaswellascouncilsupportanypublicityinrelationtotheworksundertakenusingthegrantmustbeapprovedinwritingbythecouncilinadvance,nexttotheoilindustryluxuryfirmsarebeingcoercedbygovernmentsnongovernmentalorganizationscustomersandmediaintoreducingthedamagecausedbytheluxurysupplychainfourtheseaspectsarecompromisingthevalueofluxurybrandsandcustomersarebeginningtoboycottthesebrandsinadditionthescarcityofresourcesinthefaceofgrowingdemandmakessustainablepracticesintheluxuryindustryacriticalneedfivethereforemoreandmoreluxurycompanies,402,False,['Academic Books']
N400_R0_08,openai/gpt-5.4-thinking,few-shot,0.0,0.0,True,sonofwhichthetwentyfifthconnecticutwasengagedwewereunderwayatanearlyhourforweformedthereserveintheattackingcolumncolonelbirgewasincommandofthereservewewereupatthreeamhadalittlehardtackandcoffeeandstartedundercommandofcaptainnaughtonatfoursuddenlyweheardaterrifyingyellandthecrashandroarofartilleryandmusketrysoonthedeadandwoundedbegantobebroughtinallkindsofconflictingstorieswerecirculatedastothesuccess,sonofwhichthetwentyfifthconnecticutwasengagedwewereunderwayatanearlyhourforweformedthereserveintheattackingcolumncolonelbirgewasincommandofthereservewewereupatthreeamhadalittlehardtackandcoffeeandstartedundercommandofcaptainnaughtonatfoursuddenlyweheardaterrifyingyellandthecrashandroarofartilleryandmusketrysoonthedeadandwoundedbegantobebroughtinallkindsofconflictingstorieswerecirculatedastothesuccess,sonofwhichthetwentyfifthconnecticutwasengagedwewereunderwayatanearlyhourforweformedthereserveintheattackingcolumncolonelbirgewasincommandofthereservewewereupatthreeamhadalittlehardtackandcoffeeandstartedundercommandofcaptainnaughtonatfoursuddenlyweheardaterrifyingyellandthecrashandroarofartilleryandmusketrysoonthedeadandwoundedbegantobebroughtinallkindsofconflictingstorieswerecirculatedastothesuccess,403,False,['History']
