sample_id,model,strategy,ser,is_exact_match,raw_output,cleaned_prediction,ground_truth,cipher_length,with_spaces,genre
N400_R15_13,google/gemini-3.1-pro-preview,zero-shot,0.7025,False,whateveritsformnecessityisalwaysavalidreasontosaythatnootheractionsarepossibleundertherulesestablishedbythegroupthatwonthelastbattlesothosewhonowholdpowerwillalwaysusetheconceptofnecessitytojustifytheirownunjustifiableactionsanddecisionswhileignoringtherealnecessitiesofthosewhodonotholdpowerwhichistheverydefinitionoftyranny,whateveritsformnecessityisalwaysavalidreasontosaythatnootheractionsarepossibleundertherulesestablishedbythegroupthatwonthelastbattlesothosewhonowholdpowerwillalwaysusetheconceptofnecessitytojustifytheirownunjustifiableactionsanddecisionswhileignoringtherealnecessitiesofthosewhodonotholdpowerwhichistheverydefinitionoftyranny,fromfortnecessityarerareandvaluableforthereasonthatnootheractionsavetheonebattleoffortnecessityevertookplaceherethebarrelofanoldflintlockmusketafewgrapeshotabulletmouldandladleleadenandironmusketballscomprisethefewsilentmemorialsofthefirstbattleinwhichsaxonbloodwasshedwestofthealleghanymountainstheswivelsitissaidweretakentokentuckytodobravedutythereinredeemingthedarkandbloodygroundtocivilizationon,400,False,['History']
N400_R0_16,google/gemini-3.1-pro-preview,zero-shot,0.0,True,tletonwherebusinessbeingdoneonasystemofsmallprofitsandquickreturnsthefashionswereofthefreshestandgoodsofallkindsmightbeboughtatanadvantagewiththisviewofthetimespredominantamongthetradespeopleatgrimworththeiruncertaintyconcerningthenatureofthebusinesswhichthesallowcomplexionedstrangerwasabouttosetupinthevacantshopnaturallygavesomeadditionalstrengthtothefearsofthelesssanguineifhewasgoingtoselldrapery,tletonwherebusinessbeingdoneonasystemofsmallprofitsandquickreturnsthefashionswereofthefreshestandgoodsofallkindsmightbeboughtatanadvantagewiththisviewofthetimespredominantamongthetradespeopleatgrimworththeiruncertaintyconcerningthenatureofthebusinesswhichthesallowcomplexionedstrangerwasabouttosetupinthevacantshopnaturallygavesomeadditionalstrengthtothefearsofthelesssanguineifhewasgoingtoselldrapery,tletonwherebusinessbeingdoneonasystemofsmallprofitsandquickreturnsthefashionswereofthefreshestandgoodsofallkindsmightbeboughtatanadvantagewiththisviewofthetimespredominantamongthetradespeopleatgrimworththeiruncertaintyconcerningthenatureofthebusinesswhichthesallowcomplexionedstrangerwasabouttosetupinthevacantshopnaturallygavesomeadditionalstrengthtothefearsofthelesssanguineifhewasgoingtoselldrapery,401,False,['Classic & General Literature']
N400_R5_18,google/gemini-3.1-pro-preview,zero-shot,0.9,False,leavingtheromansaregreatbelieversinactionprograms,leavingtheromansaregreatbelieversinactionprograms,currentsoutofhissoutherlycoursesightedagroupofislandsoffhondurasandcapturedahugecanoewhichisdescribedashavingbeenaswideasagalleyandeightyfeetlongformedofthetrunkofasingletreeinthemiddlewasanawningofpalmleavesnotunlikethoseofvenetiangondolasunderwhichwerethewomenchildrenandgoodsthecanoewaspropelledbytwentyfiveindianswhoworecottoncoverletsandtunicswithoutsleevesdyedvariouscolorsandcuriouslyworkedthe,400,False,"['Classic & General Literature', 'Adventure & Travel']"
N400_R5_04,google/gemini-3.1-pro-preview,zero-shot,0.85,False,itwas the best of times it was the worst of times it was the age of wisdom it was the age of foolishness it was the epoch of belief it was the epoch of incredulity it was the season of light it was the season of darkness it was the spring of hope it was the winter of despair we had everything before us we had nothing before us we were all going direct to heaven we were all going direct the other way,itwas the best of times it was the worst of times it was the age of wisdom it was the age of foolishness it was the epoch of belief it was the epoch of incredulity it was the season of light it was the season of darkness it was the spring of hope it was the winter of despair we had everything before us we had nothing before us we were all going direct to heaven we were all going direct the other way,obeyduperretoldmesolikemyselfyouarepaidtoactasdirectedandtokeepasilenttongueonlysixmonthsagojeandurandinparisrefusedtoobeyademandandtodayheisintheconvictprisonintoulonservingasentenceofsevenyearsheattemptedtorevealfactsconcerningthegoldenfacebutthejudgeattheseineassizesridiculedtheideaofourheaddirectorlivingrespectedandunsuspectedinenglandyoumaybelieveyourselfsafeandabletoadoptadefiantattitudebuti,400,False,"['Romance', 'Classic & General Literature', 'Horror & Mystery']"
N400_R5_19,google/gemini-3.1-pro-preview,zero-shot,0.782716049382716,False,onebadweedruinsthewholegardenandonebadapplecanruinthewholebarrelbutwhataboutonebadseedcouldonedefectiveseedreallytaketheentireforestdownwithitwouldnttheotherseedsjustoutgrowittakingitswaterandsunlightuntilitwitheredawayanddieditseemslogicalyetsomehowthebadseedalwaysfindsawaytosurviveandthriveeventuallychokingoutthegoodseedsuntilnothingisleftbutabitterharvest,onebadweedruinsthewholegardenandonebadapplecanruinthewholebarrelbutwhataboutonebadseedcouldonedefectiveseedreallytaketheentireforestdownwithitwouldnttheotherseedsjustoutgrowittakingitswaterandsunlightuntilitwitheredawayanddieditseemslogicalyetsomehowthebadseedalwaysfindsawaytosurviveandthriveeventuallychokingoutthegoodseedsuntilnothingisleftbutabitterharvest,nativeosseouscapbiomineralcoatingonabiomimeticmultispikedconnectingscaffoldprototypeforcementlessresurfacingarthroplastyachievedbycombinedelectrochemicaldepositionryszarduklejewskionetwomariuszwinieckionetwopiotrkrawczykthreeandrenatatoklowicztworeceivedtwentytwooctobertwothousandandnineteenacceptedtwentysevennovembertwothousandandnineteenpublishedtwodecembertwothousandandnineteenabstractthemultispiked,405,False,['Academic Books']
N400_R0_15,google/gemini-3.1-pro-preview,zero-shot,0.0,True,niscalledyoungattwentyyearsandveryyoungatsevenyearsoldbutyetahorsewecalloldattwentyandadogatsevenyearsbecauseineachofthesewecomparetheiragetodifferentideasofdurationwhicharesettledinourmindsasbelongingtotheseseveralsortsofanimalsintheordinarycourseofnaturebutthesunandstarsthoughtheyhaveoutlastedseveralgenerationsofmenwecallnotoldbecausewedonotknowwhatperiodgodhathsettothatsortofbeingsthistermbelonging,niscalledyoungattwentyyearsandveryyoungatsevenyearsoldbutyetahorsewecalloldattwentyandadogatsevenyearsbecauseineachofthesewecomparetheiragetodifferentideasofdurationwhicharesettledinourmindsasbelongingtotheseseveralsortsofanimalsintheordinarycourseofnaturebutthesunandstarsthoughtheyhaveoutlastedseveralgenerationsofmenwecallnotoldbecausewedonotknowwhatperiodgodhathsettothatsortofbeingsthistermbelonging,niscalledyoungattwentyyearsandveryyoungatsevenyearsoldbutyetahorsewecalloldattwentyandadogatsevenyearsbecauseineachofthesewecomparetheiragetodifferentideasofdurationwhicharesettledinourmindsasbelongingtotheseseveralsortsofanimalsintheordinarycourseofnaturebutthesunandstarsthoughtheyhaveoutlastedseveralgenerationsofmenwecallnotoldbecausewedonotknowwhatperiodgodhathsettothatsortofbeingsthistermbelonging,404,False,"['Classic & General Literature', 'Philosophy & Religion']"
N400_R10_07,google/gemini-3.1-pro-preview,zero-shot,0.8009950248756219,False,itwasabrightcolddayinaprilandtheclockswerestrikingthirteenwinstonsmithhischinmuzzledintohisbreastinanefforttoescapethevilewindslippedquicklythroughtheglassdoorsofvictorymansionsthoughnotquicklyenoughtopreventaswirlofgrittydustfromenteringalongwithhimthehallwaysmeltofboiledcabbageandoldragmatsatonendofitacolouredposteroolargetofitindoordisplayshadbeentackedtothewallitdepictedsimplyanenormousface,itwasabrightcolddayinaprilandtheclockswerestrikingthirteenwinstonsmithhischinmuzzledintohisbreastinanefforttoescapethevilewindslippedquicklythroughtheglassdoorsofvictorymansionsthoughnotquicklyenoughtopreventaswirlofgrittydustfromenteringalongwithhimthehallwaysmeltofboiledcabbageandoldragmatsatonendofitacolouredposteroolargetofitindoordisplayshadbeentackedtothewallitdepictedsimplyanenormousface,prefacechaptereighttinymicrornasfinetuneamyotrophiclateralsclerosischapternineselectivevulnerabilityofneuronalsubtypesinalsafertilechaptertenneuronalintermediatefilamentsinamyotrophiclateralchaptereleventrophicfactorsinthetherapeuticchallengeagainstalschaptertwelvemoleculartaxonomyuseoftranscriptionalprofilestoidentifychapterthirteenamyotrophiclateralsclerosisroleofthecanonicalwntbetacurrentresearch,402,False,['Academic Books']
N400_R5_08,google/gemini-3.1-pro-preview,zero-shot,0.7419354838709677,False,thisreferencereferstothefrenchrevolutionofseventeeneghtyninewhichwasaperiodofradicalsocialandpoliticalupheavalinfranceandhasfundamentallyaffectedfrenchhistoryandmodernhistoryitmarkedthedeclineofpowerfulmonarchiesandchurchesandtheriseofdemocracyandnationalism,thisreferencereferstothefrenchrevolutionofseventeeneghtyninewhichwasaperiodofradicalsocialandpoliticalupheavalinfranceandhasfundamentallyaffectedfrenchhistoryandmodernhistoryitmarkedthedeclineofpowerfulmonarchiesandchurchesandtheriseofdemocracyandnationalism,erstandwhyitwasthatsheshednotearsunlikesomanyofhersisterswhospendtheirlivesinplaintivewanderingsfromonebrokenjoytoanotherthejoythatisdeadweighsheavyandbidsfairtocrushusifwecauseittobewithusforeverwhichisasthoughawoodcuttershouldrefusetolaydownhisloadofdeadwoodfordeadwoodwasnotmadetobeeternallyborneontheshoulderbutindeedtobeburnedandgiveforthbrilliantflameandaswebeholdthenamesthatsoaraloftinemilyssoul,403,False,"['Philosophy & Religion', 'Short Stories & Essays']"
N400_R15_04,google/gemini-3.1-pro-preview,zero-shot,0.8482587064676617,False,itwasnottheconditionsofindividualsbuttherelationsofstatesthattheamendmentwasintendedtocontrolthisistheclearsignificanceofthedivisionintoseveralstatesofthepowerovercommercewehaveherenothingtodowiththequestionwhetherormoreproperlytoofwhatdegreethestatecanmakeitslawseffectiveinviewofthebroadpowersofthefederalgovernmentthestatemaynotinterferewiththefederalpowersthatisindeedtruenonethelessitisequallytruethatthestatehasbroadpowersoveritsownaffairs,itwasnottheconditionsofindividualsbuttherelationsofstatesthattheamendmentwasintendedtocontrolthisistheclearsignificanceofthedivisionintoseveralstatesofthepowerovercommercewehaveherenothingtodowiththequestionwhetherormoreproperlytoofwhatdegreethestatecanmakeitslawseffectiveinviewofthebroadpowersofthefederalgovernmentthestatemaynotinterferewiththefederalpowersthatisindeedtruenonethelessitisequallytruethatthestatehasbroadpowersoveritsownaffairs,nexttotheoilindustryluxuryfirmsarebeingcoercedbygovernmentsnongovernmentalorganizationscustomersandmediaintoreducingthedamagecausedbytheluxurysupplychainfourtheseaspectsarecompromisingthevalueofluxurybrandsandcustomersarebeginningtoboycottthesebrandsinadditionthescarcityofresourcesinthefaceofgrowingdemandmakessustainablepracticesintheluxuryindustryacriticalneedfivethereforemoreandmoreluxurycompanies,402,False,['Academic Books']
N400_R0_08,google/gemini-3.1-pro-preview,zero-shot,0.0,True,sonofwhichthetwentyfifthconnecticutwasengagedwewereunderwayatanearlyhourforweformedthereserveintheattackingcolumncolonelbirgewasincommandofthereservewewereupatthreeamhadalittlehardtackandcoffeeandstartedundercommandofcaptainnaughtonatfoursuddenlyweheardaterrifyingyellandthecrashandroarofartilleryandmusketrysoonthedeadandwoundedbegantobebroughtinallkindsofconflictingstorieswerecirculatedastothesuccess,sonofwhichthetwentyfifthconnecticutwasengagedwewereunderwayatanearlyhourforweformedthereserveintheattackingcolumncolonelbirgewasincommandofthereservewewereupatthreeamhadalittlehardtackandcoffeeandstartedundercommandofcaptainnaughtonatfoursuddenlyweheardaterrifyingyellandthecrashandroarofartilleryandmusketrysoonthedeadandwoundedbegantobebroughtinallkindsofconflictingstorieswerecirculatedastothesuccess,sonofwhichthetwentyfifthconnecticutwasengagedwewereunderwayatanearlyhourforweformedthereserveintheattackingcolumncolonelbirgewasincommandofthereservewewereupatthreeamhadalittlehardtackandcoffeeandstartedundercommandofcaptainnaughtonatfoursuddenlyweheardaterrifyingyellandthecrashandroarofartilleryandmusketrysoonthedeadandwoundedbegantobebroughtinallkindsofconflictingstorieswerecirculatedastothesuccess,403,False,['History']
