sample_id,model,strategy,ser,is_exact_match,raw_output,cleaned_prediction,ground_truth,cipher_length,with_spaces,genre
N400_R15_13,openai/gpt-5.4,few-shot,0.7675,False,thehomophonicsubstitutioncipherisdesignedtoshowhoweachlettercanbemappedtomultiplenumbersmakingdecipheringabittrickythatiswhyfrequencyanalysisandcarefulpatternrecognitionareessentialwhendeterminingtheoriginalplaintextfromtheencodedmessage,thehomophonicsubstitutioncipherisdesignedtoshowhoweachlettercanbemappedtomultiplenumbersmakingdecipheringabittrickythatiswhyfrequencyanalysisandcarefulpatternrecognitionareessentialwhendeterminingtheoriginalplaintextfromtheencodedmessage,fromfortnecessityarerareandvaluableforthereasonthatnootheractionsavetheonebattleoffortnecessityevertookplaceherethebarrelofanoldflintlockmusketafewgrapeshotabulletmouldandladleleadenandironmusketballscomprisethefewsilentmemorialsofthefirstbattleinwhichsaxonbloodwasshedwestofthealleghanymountainstheswivelsitissaidweretakentokentuckytodobravedutythereinredeemingthedarkandbloodygroundtocivilizationon,400,False,['History']
N400_R0_16,openai/gpt-5.4,few-shot,0.7755610972568578,False,thehomophonicsubstitutioncipherisachallengingbutfascinatingcryptosystembecauseeachlettercanbemappedtoseveraldifferentnumbersmakingfrequencyanalysismuchmorecomplexandrequiressharpattentiontodatapatternsandcarefuliterativerefinementtorevealtheplaintextcorrectlywhileavoidingcommonpitfallsandensuringaccuracythroughoutthedecodingprocess,thehomophonicsubstitutioncipherisachallengingbutfascinatingcryptosystembecauseeachlettercanbemappedtoseveraldifferentnumbersmakingfrequencyanalysismuchmorecomplexandrequiressharpattentiontodatapatternsandcarefuliterativerefinementtorevealtheplaintextcorrectlywhileavoidingcommonpitfallsandensuringaccuracythroughoutthedecodingprocess,tletonwherebusinessbeingdoneonasystemofsmallprofitsandquickreturnsthefashionswereofthefreshestandgoodsofallkindsmightbeboughtatanadvantagewiththisviewofthetimespredominantamongthetradespeopleatgrimworththeiruncertaintyconcerningthenatureofthebusinesswhichthesallowcomplexionedstrangerwasabouttosetupinthevacantshopnaturallygavesomeadditionalstrengthtothefearsofthelesssanguineifhewasgoingtoselldrapery,401,False,['Classic & General Literature']
N400_R5_18,openai/gpt-5.4,few-shot,0.85,False,theexplorationofancientruinsrevealssecretsofthepastasarchaeologiststraveldistantlandsdecipheringinscriptionsanduncoveringartifactslongforgotteninhistorytheydecodeancientlanguagesmaphiddenchambersandpiecedtogethercivilizationsstorythatshaveshapedhumanityovercenturiesdiscoveringhowpeopleoncelivedtheirtraditionsbeliefsandinnovationsofferremarkableinsightsintotheprogressofmankindandthecontinuityofculturalheritageacrossgenerations,theexplorationofancientruinsrevealssecretsofthepastasarchaeologiststraveldistantlandsdecipheringinscriptionsanduncoveringartifactslongforgotteninhistorytheydecodeancientlanguagesmaphiddenchambersandpiecedtogethercivilizationsstorythatshaveshapedhumanityovercenturiesdiscoveringhowpeopleoncelivedtheirtraditionsbeliefsandinnovationsofferremarkableinsightsintotheprogressofmankindandthecontinuityofculturalheritageacrossgenerations,currentsoutofhissoutherlycoursesightedagroupofislandsoffhondurasandcapturedahugecanoewhichisdescribedashavingbeenaswideasagalleyandeightyfeetlongformedofthetrunkofasingletreeinthemiddlewasanawningofpalmleavesnotunlikethoseofvenetiangondolasunderwhichwerethewomenchildrenandgoodsthecanoewaspropelledbytwentyfiveindianswhoworecottoncoverletsandtunicswithoutsleevesdyedvariouscolorsandcuriouslyworkedthe,400,False,"['Classic & General Literature', 'Adventure & Travel']"
N400_R5_04,openai/gpt-5.4,few-shot,0.735,False,thequickbrownfoxjumpsoverthelazydogmultipletimeswithoutgettingtiredasitisachallengingexerciseforbothmindandbodyandhelptostrengthenconcentrationandcoordinationwhileprovidingfunandentertainmentalongsidethebenefitsofphysicalfitnessandmentalstimulationwhichareessentialforoverallhealthandwellbeing,thequickbrownfoxjumpsoverthelazydogmultipletimeswithoutgettingtiredasitisachallengingexerciseforbothmindandbodyandhelptostrengthenconcentrationandcoordinationwhileprovidingfunandentertainmentalongsidethebenefitsofphysicalfitnessandmentalstimulationwhichareessentialforoverallhealthandwellbeing,obeyduperretoldmesolikemyselfyouarepaidtoactasdirectedandtokeepasilenttongueonlysixmonthsagojeandurandinparisrefusedtoobeyademandandtodayheisintheconvictprisonintoulonservingasentenceofsevenyearsheattemptedtorevealfactsconcerningthegoldenfacebutthejudgeattheseineassizesridiculedtheideaofourheaddirectorlivingrespectedandunsuspectedinenglandyoumaybelieveyourselfsafeandabletoadoptadefiantattitudebuti,400,False,"['Romance', 'Classic & General Literature', 'Horror & Mystery']"
N400_R5_19,openai/gpt-5.4,few-shot,0.7358024691358025,False,thehomophonicsubstitutioncipherisamethodofencryptingplaintextbyreplacingeachletterwithanumberchosenfromasetofpossiblenumbersforeachlettermakingitmuchhardertodecipherthanasimplecaesarcipherbutwithenoughciphertextandfrequencyanalysisitcanbestudiedandcrackedbyapatientcryptanalyst,thehomophonicsubstitutioncipherisamethodofencryptingplaintextbyreplacingeachletterwithanumberchosenfromasetofpossiblenumbersforeachlettermakingitmuchhardertodecipherthanasimplecaesarcipherbutwithenoughciphertextandfrequencyanalysisitcanbestudiedandcrackedbyapatientcryptanalyst,nativeosseouscapbiomineralcoatingonabiomimeticmultispikedconnectingscaffoldprototypeforcementlessresurfacingarthroplastyachievedbycombinedelectrochemicaldepositionryszarduklejewskionetwomariuszwinieckionetwopiotrkrawczykthreeandrenatatoklowicztworeceivedtwentytwooctobertwothousandandnineteenacceptedtwentysevennovembertwothousandandnineteenpublishedtwodecembertwothousandandnineteenabstractthemultispiked,405,False,['Academic Books']
N400_R0_15,openai/gpt-5.4,few-shot,0.7648514851485149,False,thehomophonicsubstitutioncipherisinterestingandchallengingtodecipherbecauseeachlettercanbemappedtomultiplecodesrequiringcarefulanalysisandfrequencycountingtoreconstructtheoriginalplaintextaccurately,thehomophonicsubstitutioncipherisinterestingandchallengingtodecipherbecauseeachlettercanbemappedtomultiplecodesrequiringcarefulanalysisandfrequencycountingtoreconstructtheoriginalplaintextaccurately,niscalledyoungattwentyyearsandveryyoungatsevenyearsoldbutyetahorsewecalloldattwentyandadogatsevenyearsbecauseineachofthesewecomparetheiragetodifferentideasofdurationwhicharesettledinourmindsasbelongingtotheseseveralsortsofanimalsintheordinarycourseofnaturebutthesunandstarsthoughtheyhaveoutlastedseveralgenerationsofmenwecallnotoldbecausewedonotknowwhatperiodgodhathsettothatsortofbeingsthistermbelonging,404,False,"['Classic & General Literature', 'Philosophy & Religion']"
N400_R10_07,openai/gpt-5.4,few-shot,0.763681592039801,False,thehomophonicsubstitutioncipherisamethodofencryptingtextinwhicheachletteroftheplaintextcanbemappedtomultipleciphernumbersmakingitmoredifficulttocrackthanastandardmonalphabeticcipher,thehomophonicsubstitutioncipherisamethodofencryptingtextinwhicheachletteroftheplaintextcanbemappedtomultipleciphernumbersmakingitmoredifficulttocrackthanastandardmonalphabeticcipher,prefacechaptereighttinymicrornasfinetuneamyotrophiclateralsclerosischapternineselectivevulnerabilityofneuronalsubtypesinalsafertilechaptertenneuronalintermediatefilamentsinamyotrophiclateralchaptereleventrophicfactorsinthetherapeuticchallengeagainstalschaptertwelvemoleculartaxonomyuseoftranscriptionalprofilestoidentifychapterthirteenamyotrophiclateralsclerosisroleofthecanonicalwntbetacurrentresearch,402,False,['Academic Books']
N400_R5_08,openai/gpt-5.4,few-shot,0.7593052109181141,False,thehomophonicsubstitutioncipherisadesignatedformofcryptographywherenumberseachrepresentletterswithmultiplenumberspossiblyrepresentingthesameletterthismakesdecodingmorecomplexbutfrequencyanalysisandpatternrecognitioncanbeusedtorevealtheunderlyingplaintextandextractmeaningfromtheciphertextusingcarefulstatisticalanditerativetechniques,thehomophonicsubstitutioncipherisadesignatedformofcryptographywherenumberseachrepresentletterswithmultiplenumberspossiblyrepresentingthesameletterthismakesdecodingmorecomplexbutfrequencyanalysisandpatternrecognitioncanbeusedtorevealtheunderlyingplaintextandextractmeaningfromtheciphertextusingcarefulstatisticalanditerativetechniques,erstandwhyitwasthatsheshednotearsunlikesomanyofhersisterswhospendtheirlivesinplaintivewanderingsfromonebrokenjoytoanotherthejoythatisdeadweighsheavyandbidsfairtocrushusifwecauseittobewithusforeverwhichisasthoughawoodcuttershouldrefusetolaydownhisloadofdeadwoodfordeadwoodwasnotmadetobeeternallyborneontheshoulderbutindeedtobeburnedandgiveforthbrilliantflameandaswebeholdthenamesthatsoaraloftinemilyssoul,403,False,"['Philosophy & Religion', 'Short Stories & Essays']"
N400_R15_04,openai/gpt-5.4,few-shot,0.7960199004975125,False,thehomophonicsubstitutioncipherisoneoftheclassiccryptographymethodswhereeachletteroftheplaintextcanbemappedtoseveraldifferentnumbersmakingfrequencyanalysismorechallengingbutwithpatienceandpatternrecognitionitispossibletodecodeitaccuratelyusingstatisticalapproachesthatcompareciphertextfrequencieswithenglishletterfrequenciesandgraduallyrefinethemappinguntiltheentiremessageemergesclearly,thehomophonicsubstitutioncipherisoneoftheclassiccryptographymethodswhereeachletteroftheplaintextcanbemappedtoseveraldifferentnumbersmakingfrequencyanalysismorechallengingbutwithpatienceandpatternrecognitionitispossibletodecodeitaccuratelyusingstatisticalapproachesthatcompareciphertextfrequencieswithenglishletterfrequenciesandgraduallyrefinethemappinguntiltheentiremessageemergesclearly,nexttotheoilindustryluxuryfirmsarebeingcoercedbygovernmentsnongovernmentalorganizationscustomersandmediaintoreducingthedamagecausedbytheluxurysupplychainfourtheseaspectsarecompromisingthevalueofluxurybrandsandcustomersarebeginningtoboycottthesebrandsinadditionthescarcityofresourcesinthefaceofgrowingdemandmakessustainablepracticesintheluxuryindustryacriticalneedfivethereforemoreandmoreluxurycompanies,402,False,['Academic Books']
N400_R0_08,openai/gpt-5.4,few-shot,0.8660049627791563,False,thehomophonicsubstitutioncipherisdesignedtoconfusethecasualobserverbyassigningmultiplenumbersforeachlettermakingfrequencyanalysisessentialtodecipheritcorrectlyeachplaintextlettermayappearasanynumberfromitssetsoeachappearancemustbereversedaccuratelytoproducetheoriginalenglishtextwithouterrorsormistakesthisprocessrequirespatiencecarefulpatternrecognitionandconstantcomparisontoexpectedletterfrequenciesuntiltheentiremessageemergesclearlyandcoherently,thehomophonicsubstitutioncipherisdesignedtoconfusethecasualobserverbyassigningmultiplenumbersforeachlettermakingfrequencyanalysisessentialtodecipheritcorrectlyeachplaintextlettermayappearasanynumberfromitssetsoeachappearancemustbereversedaccuratelytoproducetheoriginalenglishtextwithouterrorsormistakesthisprocessrequirespatiencecarefulpatternrecognitionandconstantcomparisontoexpectedletterfrequenciesuntiltheentiremessageemergesclearlyandcoherently,sonofwhichthetwentyfifthconnecticutwasengagedwewereunderwayatanearlyhourforweformedthereserveintheattackingcolumncolonelbirgewasincommandofthereservewewereupatthreeamhadalittlehardtackandcoffeeandstartedundercommandofcaptainnaughtonatfoursuddenlyweheardaterrifyingyellandthecrashandroarofartilleryandmusketrysoonthedeadandwoundedbegantobebroughtinallkindsofconflictingstorieswerecirculatedastothesuccess,403,False,['History']
